,UTC,Temperature[C],Humidity[%],TVOC[ppb],eCO2[ppm],Raw H2,Raw Ethanol,Pressure[hPa],PM1.0,PM2.5,NC0.5,NC1.0,NC2.5,CNT,Fire Alarm
0,1654733331,20.0,57.36,0,400,12306,18520,939.735,0.0,0.0,0.0,0.0,0.0,0,0
2,1654733333,20.029,55.96,0,400,12374,18764,939.738,0.0,0.0,0.0,0.0,0.0,2,0
4,1654733335,20.059,54.69,0,400,12403,18921,939.744,0.0,0.0,0.0,0.0,0.0,4,0
6,1654733337,20.088,53.61,0,400,12432,19058,939.738,0.0,0.0,0.0,0.0,0.0,6,0
8,1654733339,20.117,52.81,0,400,12448,19155,939.758,0.0,0.0,0.0,0.0,0.0,8,0
10,1654733341,20.146,52.15,0,400,12454,19230,939.757,0.89,3.71,0.0,4.289,2.73,10,0
12,1654733343,20.175,51.62,0,400,12467,19299,939.755,0.81,3.38,0.0,3.909,2.488,12,0
14,1654733345,20.204,51.17,0,403,12468,19338,939.742,0.71,2.96,0.0,3.419,2.176,14,0
16,1654733347,20.233,50.86,0,400,12480,19382,939.758,0.6,2.52,0.0,2.908,1.851,16,0
18,1654733349,20.262,50.49,0,400,12481,19422,939.761,0.5,2.1,0.0,2.423,1.542,18,0
20,1654733351,20.291,50.15,0,400,12491,19456,939.729,0.38,1.6,0.0,1.855,1.18,20,0
22,1654733353,20.32,49.96,0,400,12492,19489,939.756,0.31,1.3,0.0,1.497,0.953,22,0
24,1654733355,20.348,49.76,0,400,12498,19503,939.77,0.25,1.04,0.0,1.197,0.762,24,0
26,1654733357,20.377,49.58,0,404,12503,19525,939.771,0.2,0.82,0.0,0.949,0.604,26,0
28,1654733359,20.406,49.58,36,455,12472,19487,939.77,0.16,0.56,0.13,0.644,0.385,28,0
30,1654733361,20.434,50.68,16,435,12481,19509,939.772,0.14,0.5,0.12,0.569,0.34,30,0
32,1654733363,20.462,51.77,11,440,12479,19515,939.762,0.12,0.42,0.1,0.487,0.291,32,0
34,1654733365,20.491,52.74,0,414,12489,19535,939.747,0.1,0.36,0.08,0.408,0.244,34,0
36,1654733367,20.519,53.5,0,410,12491,19541,939.755,0.08,0.29,0.07,0.336,0.201,36,0
38,1654733369,20.547,54.13,0,400,12498,19569,939.757,0.07,0.24,0.06,0.273,0.163,38,0
40,1654733371,20.575,54.67,7,406,12498,19553,939.766,0.06,0.19,0.05,0.219,0.131,40,0
42,1654733373,20.603,55.08,0,410,12497,19565,939.761,0.04,0.15,0.04,0.175,0.105,42,0
44,1654733375,20.631,55.49,0,400,12508,19581,939.762,0.03,0.12,0.03,0.138,0.083,44,0
46,1654733377,20.659,55.99,9,406,12505,19582,939.754,0.02,0.08,0.02,0.092,0.055,46,0
48,1654733379,20.687,56.18,0,400,12514,19594,939.741,0.02,0.06,0.01,0.072,0.043,48,0
50,1654733381,20.715,56.36,6,416,12503,19580,939.711,0.01,0.05,0.01,0.056,0.033,50,0
52,1654733383,20.743,56.55,11,404,12512,19596,939.693,0.01,0.04,0.01,0.043,0.026,52,0
54,1654733385,20.77,56.66,4,400,12514,19595,939.718,0.01,0.03,0.01,0.033,0.02,54,0
56,1654733387,20.798,56.64,0,400,12532,19626,939.721,0.01,0.02,0.01,0.026,0.015,56,0
58,1654733389,20.825,55.38,0,400,12539,19629,939.714,0.33,1.24,0.04,1.428,0.877,58,0
60,1654733391,20.853,54.14,4,406,12536,19627,939.719,0.08,0.32,0.01,0.364,0.223,60,0
62,1654733393,20.88,53.11,0,400,12531,19635,939.746,0.21,0.78,0.07,0.893,0.545,62,0
64,1654733395,20.908,52.27,10,411,12534,19635,939.76,0.16,0.59,0.05,0.678,0.414,64,0
66,1654733397,20.935,51.66,18,413,12530,19635,939.762,0.13,0.47,0.04,0.541,0.33,66,0
68,1654733399,20.962,51.16,13,407,12533,19627,939.767,0.11,0.39,0.03,0.448,0.273,68,0
70,1654733401,20.989,50.72,18,401,12529,19622,939.77,0.09,0.32,0.03,0.366,0.223,70,0
72,1654733403,21.016,50.38,18,417,12529,19623,939.763,0.07,0.26,0.02,0.295,0.18,72,0
74,1654733405,21.043,50.1,12,410,12533,19633,939.776,0.06,0.21,0.02,0.236,0.144,74,0
76,1654733407,21.07,49.88,19,400,12528,19620,939.777,0.04,0.16,0.01,0.187,0.114,76,0
78,1654733409,21.097,49.67,16,408,12536,19619,939.778,0.04,0.13,0.01,0.148,0.09,78,0
80,1654733411,21.124,49.47,18,405,12534,19631,939.772,0.03,0.1,0.01,0.116,0.071,80,0
82,1654733413,21.15,49.39,7,407,12540,19638,939.776,0.02,0.08,0.01,0.09,0.055,82,0
84,1654733415,21.177,49.21,15,420,12536,19622,939.787,0.02,0.06,0.01,0.07,0.043,84,0
86,1654733417,21.204,49.29,45,453,12516,19609,939.784,0.01,0.05,0.0,0.059,0.036,86,0
88,1654733419,21.23,50.45,33,448,12517,19610,939.782,0.01,0.04,0.0,0.046,0.028,88,0
90,1654733421,21.257,51.56,34,437,12512,19606,939.775,0.01,0.03,0.0,0.035,0.021,90,0
92,1654733423,21.283,52.54,18,422,12525,19619,939.788,0.01,0.02,0.0,0.027,0.016,92,0
94,1654733425,21.309,53.32,27,424,12522,19618,939.792,0.0,0.02,0.0,0.021,0.013,94,0
96,1654733427,21.336,53.96,33,421,12524,19614,939.801,0.2,0.63,0.36,0.718,0.409,96,0
