,UTC,Temperature[C],Humidity[%],TVOC[ppb],eCO2[ppm],Raw H2,Raw Ethanol,Pressure[hPa],PM1.0,PM2.5,NC0.5,NC1.0,NC2.5,CNT,Fire Alarm
1,1654733332,20.015,56.67,0,400,12345,18651,939.744,0.0,0.0,0.0,0.0,0.0,1,0
3,1654733334,20.044,55.28,0,400,12390,18849,939.736,0.0,0.0,0.0,0.0,0.0,3,0
5,1654733336,20.073,54.12,0,400,12419,18998,939.725,0.0,0.0,0.0,0.0,0.0,5,0
7,1654733338,20.103,53.2,0,400,12439,19114,939.758,0.0,0.0,0.0,0.0,0.0,7,0
9,1654733340,20.132,52.46,0,400,12453,19195,939.756,0.9,3.78,0.0,4.369,2.78,9,0
11,1654733342,20.161,51.84,0,400,12467,19264,939.754,0.84,3.51,0.0,4.053,2.58,11,0
13,1654733344,20.19,51.39,0,400,12469,19317,939.758,0.74,3.11,0.0,3.588,2.284,13,0
15,1654733346,20.219,50.99,0,400,12475,19362,939.741,0.64,2.66,0.0,3.077,1.959,15,0
17,1654733348,20.248,50.66,0,400,12477,19400,939.764,0.53,2.23,0.0,2.58,1.642,17,0
19,1654733350,20.277,50.27,0,406,12489,19451,939.752,0.41,1.72,0.0,1.987,1.265,19,0
21,1654733352,20.305,50.02,0,400,12487,19470,939.741,0.33,1.39,0.0,1.61,1.024,21,0
23,1654733354,20.334,49.83,0,415,12495,19489,939.764,0.27,1.12,0.0,1.291,0.821,23,0
25,1654733356,20.363,49.65,0,401,12499,19516,939.774,0.21,0.89,0.0,1.026,0.653,25,0
27,1654733358,20.391,49.37,30,445,12478,19500,939.771,0.17,0.58,0.14,0.665,0.398,27,0
29,1654733360,20.42,50.11,20,443,12471,19493,939.775,0.15,0.52,0.12,0.595,0.356,29,0
31,1654733362,20.448,51.23,8,440,12482,19520,939.772,0.13,0.45,0.11,0.514,0.308,31,0
33,1654733364,20.477,52.28,0,420,12486,19532,939.769,0.11,0.38,0.09,0.434,0.259,33,0
35,1654733366,20.505,53.12,3,413,12490,19541,939.754,0.09,0.31,0.07,0.359,0.215,35,0
37,1654733368,20.533,53.84,0,413,12498,19552,939.747,0.07,0.26,0.06,0.293,0.175,37,0
39,1654733370,20.561,54.41,6,415,12491,19559,939.761,0.06,0.21,0.05,0.236,0.141,39,0
41,1654733372,20.589,54.91,0,400,12503,19578,939.765,0.05,0.18,0.04,0.204,0.122,41,0
43,1654733374,20.617,55.28,0,400,12505,19565,939.757,0.04,0.14,0.03,0.162,0.097,43,0
45,1654733376,20.645,55.86,8,404,12501,19574,939.754,0.03,0.09,0.02,0.1,0.06,45,0
47,1654733378,20.673,56.11,0,400,12507,19585,939.745,0.02,0.07,0.02,0.078,0.047,47,0
49,1654733380,20.701,56.32,0,408,12510,19587,939.722,0.02,0.05,0.01,0.061,0.036,49,0
51,1654733382,20.729,56.47,14,411,12508,19587,939.701,0.01,0.04,0.01,0.047,0.028,51,0
